question_0,imageurl_0,question_1,imageurl_1,question_2,imageurl_2,question_3,imageurl_3,question_4,imageurl_4,question_5,imageurl_5,question_6,imageurl_6,question_7,imageurl_7
Is the bus new?,ugrad.cs.jhu.edu/~jgualla1/images/2377551.jpg,Is the bus new?,ugrad.cs.jhu.edu/~jgualla1/images/2365270.jpg,Does the train that is brown look new?,ugrad.cs.jhu.edu/~jgualla1/images/2340593.jpg,Is the fridge new?,ugrad.cs.jhu.edu/~jgualla1/images/2328963.jpg,Does the bus that looks blue look new?,ugrad.cs.jhu.edu/~jgualla1/images/2377551.jpg,Is the train new?,ugrad.cs.jhu.edu/~jgualla1/images/2401623.jpg,Does the house look new?,ugrad.cs.jhu.edu/~jgualla1/images/2394108.jpg,Is the shoe new?,ugrad.cs.jhu.edu/~jgualla1/images/2336308.jpg
Is that truck new?,ugrad.cs.jhu.edu/~jgualla1/images/2392643.jpg,Is the car new?,ugrad.cs.jhu.edu/~jgualla1/images/2402625.jpg,Does the large vase look new?,ugrad.cs.jhu.edu/~jgualla1/images/2365465.jpg,Is this a new oven?,ugrad.cs.jhu.edu/~jgualla1/images/2413600.jpg,Is that house new?,ugrad.cs.jhu.edu/~jgualla1/images/2365882.jpg,Is the bench new?,ugrad.cs.jhu.edu/~jgualla1/images/2367706.jpg,Is this truck new?,ugrad.cs.jhu.edu/~jgualla1/images/2374714.jpg,Is this a new truck?,ugrad.cs.jhu.edu/~jgualla1/images/2408760.jpg
Is the shop new?,ugrad.cs.jhu.edu/~jgualla1/images/2360722.jpg,Is this bus new?,ugrad.cs.jhu.edu/~jgualla1/images/2405250.jpg,Does the mattress that looks black look new?,ugrad.cs.jhu.edu/~jgualla1/images/2397563.jpg,Is this a new train?,ugrad.cs.jhu.edu/~jgualla1/images/2340593.jpg,Is this a new train?,ugrad.cs.jhu.edu/~jgualla1/images/2364283.jpg,Is the train new?,ugrad.cs.jhu.edu/~jgualla1/images/2399900.jpg,Does the mattress that looks black look new?,ugrad.cs.jhu.edu/~jgualla1/images/2397563.jpg,Does the car look new?,ugrad.cs.jhu.edu/~jgualla1/images/2361439.jpg
Does the truck look new?,ugrad.cs.jhu.edu/~jgualla1/images/2374714.jpg,Is that a new table?,ugrad.cs.jhu.edu/~jgualla1/images/2415204.jpg,Is the TV new?,ugrad.cs.jhu.edu/~jgualla1/images/2352325.jpg,Does the table look new?,ugrad.cs.jhu.edu/~jgualla1/images/2401863.jpg,Is the bench new?,ugrad.cs.jhu.edu/~jgualla1/images/2372121.jpg,Does the sink look new?,ugrad.cs.jhu.edu/~jgualla1/images/2333341.jpg,Is the mobile phone new?,ugrad.cs.jhu.edu/~jgualla1/images/2385859.jpg,Is this train new?,ugrad.cs.jhu.edu/~jgualla1/images/2364283.jpg
Does the tire look new?,ugrad.cs.jhu.edu/~jgualla1/images/2318283.jpg,Is the bench new?,ugrad.cs.jhu.edu/~jgualla1/images/2367706.jpg,Does the television look new?,ugrad.cs.jhu.edu/~jgualla1/images/2352325.jpg,Is this a new bench?,ugrad.cs.jhu.edu/~jgualla1/images/2382560.jpg,Does the shop look new?,ugrad.cs.jhu.edu/~jgualla1/images/2360722.jpg,Is the book new?,ugrad.cs.jhu.edu/~jgualla1/images/2384623.jpg,Is this a new bench?,ugrad.cs.jhu.edu/~jgualla1/images/2367706.jpg,Is this bus new?,ugrad.cs.jhu.edu/~jgualla1/images/2405250.jpg
Is this train new?,ugrad.cs.jhu.edu/~jgualla1/images/2405831.jpg,Does the TV that looks gray look new?,ugrad.cs.jhu.edu/~jgualla1/images/2397154.jpg,Is this a new bench?,ugrad.cs.jhu.edu/~jgualla1/images/2403830.jpg,Is that a new truck?,ugrad.cs.jhu.edu/~jgualla1/images/2374714.jpg,Does the black train look new?,ugrad.cs.jhu.edu/~jgualla1/images/2378614.jpg,Is this a new bench?,ugrad.cs.jhu.edu/~jgualla1/images/2356670.jpg,Is the book new?,ugrad.cs.jhu.edu/~jgualla1/images/2384623.jpg,Does the red vehicle look new?,ugrad.cs.jhu.edu/~jgualla1/images/2374714.jpg
Is this a new bench?,ugrad.cs.jhu.edu/~jgualla1/images/2403830.jpg,Does the car look new?,ugrad.cs.jhu.edu/~jgualla1/images/2391114.jpg,Is the bus new?,ugrad.cs.jhu.edu/~jgualla1/images/2392114.jpg,Does the white vehicle seem to be new?,ugrad.cs.jhu.edu/~jgualla1/images/2329521.jpg,Is the truck new?,ugrad.cs.jhu.edu/~jgualla1/images/2382779.jpg,Is this a new train?,ugrad.cs.jhu.edu/~jgualla1/images/2322704.jpg,Does the wood bench look new?,ugrad.cs.jhu.edu/~jgualla1/images/2403830.jpg,Does this train look new?,ugrad.cs.jhu.edu/~jgualla1/images/2322704.jpg
Does the vintage car look new?,ugrad.cs.jhu.edu/~jgualla1/images/2385697.jpg,Does the vintage vehicle look new?,ugrad.cs.jhu.edu/~jgualla1/images/2385697.jpg,Does the oven look new?,ugrad.cs.jhu.edu/~jgualla1/images/2403994.jpg,Is the window new?,ugrad.cs.jhu.edu/~jgualla1/images/2380573.jpg,Is that a new bus?,ugrad.cs.jhu.edu/~jgualla1/images/2377551.jpg,Does the train look new?,ugrad.cs.jhu.edu/~jgualla1/images/2399900.jpg,Is this a new table?,ugrad.cs.jhu.edu/~jgualla1/images/2401863.jpg,Does the television look new?,ugrad.cs.jhu.edu/~jgualla1/images/2349334.jpg
Is this a new train?,ugrad.cs.jhu.edu/~jgualla1/images/2340593.jpg,Does the small device look new?,ugrad.cs.jhu.edu/~jgualla1/images/2393923.jpg,Does the TV that looks gray look new?,ugrad.cs.jhu.edu/~jgualla1/images/2397154.jpg,Does the car look new?,ugrad.cs.jhu.edu/~jgualla1/images/2337091.jpg,Does the television look new?,ugrad.cs.jhu.edu/~jgualla1/images/2397154.jpg,Does the shop look new?,ugrad.cs.jhu.edu/~jgualla1/images/2360722.jpg,Does the truck look new?,ugrad.cs.jhu.edu/~jgualla1/images/2324417.jpg,Is the house new?,ugrad.cs.jhu.edu/~jgualla1/images/2394108.jpg
Is that a new truck?,ugrad.cs.jhu.edu/~jgualla1/images/2382779.jpg,Does the book look new?,ugrad.cs.jhu.edu/~jgualla1/images/2384623.jpg,Is the television new?,ugrad.cs.jhu.edu/~jgualla1/images/2337945.jpg,Is this a new bike?,ugrad.cs.jhu.edu/~jgualla1/images/2398893.jpg,Does the bench look new?,ugrad.cs.jhu.edu/~jgualla1/images/2367706.jpg,Is this a new bench?,ugrad.cs.jhu.edu/~jgualla1/images/2386254.jpg,Is this a new truck?,ugrad.cs.jhu.edu/~jgualla1/images/2392643.jpg,Does that TV look new?,ugrad.cs.jhu.edu/~jgualla1/images/2337945.jpg
