question_0,imageurl_0,question_1,imageurl_1,question_2,imageurl_2,question_3,imageurl_3,question_4,imageurl_4,question_5,imageurl_5,question_6,imageurl_6,question_7,imageurl_7
Is it sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2410986.jpg,Does the ground look sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2375020.jpg,Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2401710.jpg,Is it sunny today?,ugrad.cs.jhu.edu/~jgualla1/images/2406035.jpg,Is it sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2391023.jpg,Is the weather sunny today?,ugrad.cs.jhu.edu/~jgualla1/images/2357330.jpg,Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2324559.jpg,Does the sky look sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2379159.jpg
Is it sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2398699.jpg,Does that sky look sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2387391.jpg,Does the blue sky look sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2340180.jpg,Is the sky sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2360947.jpg,Is it sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2402044.jpg,Does the blue sky look sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2408282.jpg,Is the weather sunny today?,ugrad.cs.jhu.edu/~jgualla1/images/2357837.jpg,Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2405819.jpg
Is it sunny today?,ugrad.cs.jhu.edu/~jgualla1/images/150297.jpg,Does the sky look sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2321951.jpg,Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2367069.jpg,Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/3238.jpg,Is it sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2410986.jpg,Is the sky sunny?,ugrad.cs.jhu.edu/~jgualla1/images/45.jpg,Is it sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2321951.jpg,Is the sky sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2400554.jpg
Is it sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2322031.jpg,Is it sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2382140.jpg,Is the sky sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2403189.jpg,Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2369515.jpg,Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2357882.jpg,Is it sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2376413.jpg,Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2354736.jpg,Does the sky look sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2392742.jpg
Is the sky sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2343718.jpg,Does the blue sky seem to be sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2396304.jpg,Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2387391.jpg,Is it sunny in this image?,ugrad.cs.jhu.edu/~jgualla1/images/2406847.jpg,Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2397439.jpg,Does the sky look sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2388919.jpg,Is the sky sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2394877.jpg,Is it sunny today?,ugrad.cs.jhu.edu/~jgualla1/images/2376615.jpg
Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2350568.jpg,Is the weather sunny in this photo?,ugrad.cs.jhu.edu/~jgualla1/images/2390681.jpg,Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2406204.jpg,Is the sky sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2405819.jpg,Is it sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2401770.jpg,Is the sky sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2387159.jpg,Does that sky look sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2368683.jpg,Does the sky look sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2394960.jpg
Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2336511.jpg,Does the sky look sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2392114.jpg,Does the sky look sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2358947.jpg,Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2345752.jpg,Does the sky look sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2393168.jpg,Does the sky look sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2328788.jpg,Is it sunny today?,ugrad.cs.jhu.edu/~jgualla1/images/2354114.jpg,Is the weather sunny in the picture?,ugrad.cs.jhu.edu/~jgualla1/images/2320922.jpg
Is it sunny today?,ugrad.cs.jhu.edu/~jgualla1/images/2411995.jpg,Does the sky that looks blue look sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2396994.jpg,Is it sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2349328.jpg,Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2390130.jpg,Is the sky sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2358716.jpg,Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2357229.jpg,Is it sunny in the image?,ugrad.cs.jhu.edu/~jgualla1/images/3761.jpg,Is it sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2377817.jpg
Is the sky sunny?,ugrad.cs.jhu.edu/~jgualla1/images/713765.jpg,Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2411372.jpg,Is the sky sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2332958.jpg,Does the blue sky look sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2381600.jpg,Is the weather sunny today?,ugrad.cs.jhu.edu/~jgualla1/images/2357837.jpg,Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2390130.jpg,Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2397824.jpg,Is it sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2416387.jpg
Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2323816.jpg,Does the gray sky look sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2374359.jpg,Is it sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2382140.jpg,Is the weather sunny today?,ugrad.cs.jhu.edu/~jgualla1/images/2404979.jpg,Does the kite of the boy look sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2395165.jpg,Is it sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2380105.jpg,Is the weather sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2364317.jpg,Is it sunny?,ugrad.cs.jhu.edu/~jgualla1/images/2403045.jpg
