question_0,imageurl_0,question_id_0,question_1,imageurl_1,question_id_1,question_2,imageurl_2,question_id_2,question_3,imageurl_3,question_id_3,question_4,imageurl_4,question_id_4,question_5,imageurl_5,question_id_5,question_6,imageurl_6,question_id_6,question_7,imageurl_7,question_id_7
Does the mattress that looks black look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2397563.jpg,17135467,Does the stove look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2396671.jpg,15665755,Does the tire look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2404484.jpg,0610846,Is this a new oven?,http://ugrad.cs.jhu.edu/~jgualla1/images/2413600.jpg,01856347,Is that a new train?,http://ugrad.cs.jhu.edu/~jgualla1/images/2405831.jpg,0559982,Does the car look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2402625.jpg,17463030,Is the tire new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2318283.jpg,14817338,Does the train at the station look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2364283.jpg,18906751
Does the cellphone seem to be new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2388009.jpg,01275177,Does the red vehicle look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2374714.jpg,191024066,Is this a new bench?,http://ugrad.cs.jhu.edu/~jgualla1/images/2403830.jpg,04736257,Is the sink new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2362052.jpg,05189177,Is the car new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2402625.jpg,17463029,Is this a new train?,http://ugrad.cs.jhu.edu/~jgualla1/images/2364283.jpg,18906759,Is the oven new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2403994.jpg,06498938,Does the small device look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2393923.jpg,08929056
Is this truck new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2374714.jpg,191024064,Does the shop look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2360722.jpg,16736985,Is the window new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2380573.jpg,17626851,Is the television new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2397154.jpg,13460199,Does the white vehicle seem to be new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2329521.jpg,06492064,Does the train that looks gray look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2366268.jpg,0647606,Does the white vehicle seem to be new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2329521.jpg,06492064,Does the stove look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2396671.jpg,15665755
Does the wood bench look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2372121.jpg,1743984,Is the train new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2322704.jpg,09947180,Does the red vehicle look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2405831.jpg,0559974,Is the train new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2401623.jpg,09784282,Is this a new car?,http://ugrad.cs.jhu.edu/~jgualla1/images/2385697.jpg,00816381,Does the tire look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2318283.jpg,14817339,Is the truck new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2408760.jpg,10308198,Is the bench new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2355875.jpg,1791995
Is the train new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2399900.jpg,04482011,Is the mattress new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2397563.jpg,17135466,Does the truck look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2324417.jpg,061042617,Does the truck look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2382779.jpg,00803793,Does the vehicle at the station look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2364283.jpg,18906752,Is this a new train?,http://ugrad.cs.jhu.edu/~jgualla1/images/2378614.jpg,13660457,Does the television look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2352325.jpg,06997970,Is this a new train?,http://ugrad.cs.jhu.edu/~jgualla1/images/2364283.jpg,18906759
Does the oven look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2403994.jpg,06498937,Does the small device look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2393923.jpg,08929056,Is the truck new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2382779.jpg,00803792,Does the house look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2394108.jpg,031054611,Is the car new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2361439.jpg,16929691,Is the train new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2322704.jpg,09947180,Does the stove look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2408373.jpg,15770167,Does the vintage vehicle look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2385697.jpg,00816376
Is the house new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2394108.jpg,031054610,Is that a new truck?,http://ugrad.cs.jhu.edu/~jgualla1/images/2374714.jpg,191024074,Does the shop look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2376775.jpg,06425065,Is this bench new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2386254.jpg,17861017,Is this a new car?,http://ugrad.cs.jhu.edu/~jgualla1/images/2385697.jpg,00816381,Is that a new table?,http://ugrad.cs.jhu.edu/~jgualla1/images/2415204.jpg,13676726,Does the red vehicle look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2408760.jpg,10308201,Is this a new train?,http://ugrad.cs.jhu.edu/~jgualla1/images/2417245.jpg,00470630
Does the shoe look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2336308.jpg,02485208,Is the bus new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2365270.jpg,04109322,Is this a new bench?,http://ugrad.cs.jhu.edu/~jgualla1/images/2355875.jpg,1792005,Is the TV new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2349334.jpg,161065248,Is the TV new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2349334.jpg,161065248,Does that window look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2330986.jpg,08222023,Is the sink new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2407766.jpg,0677882,Is the tire new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2318283.jpg,14817338
Is the car new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2391114.jpg,08606486,Is this a new bike?,http://ugrad.cs.jhu.edu/~jgualla1/images/2398893.jpg,17719533,Does the bike seem to be new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2398893.jpg,17719524,Is this train new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2340593.jpg,14807136,Does the sink look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2407766.jpg,0677883,Does the long vehicle look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/45.jpg,061046811,Does the vintage vehicle look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2322704.jpg,09947182,Is this train new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2405831.jpg,0559972
Does the white toilet look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2401556.jpg,19620875,Is the sink new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2362052.jpg,05189177,Is this a new train?,http://ugrad.cs.jhu.edu/~jgualla1/images/2322704.jpg,09947190,Does the white toilet look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2401556.jpg,19620875,Is the bench new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2403830.jpg,04736250,Is this a new truck?,http://ugrad.cs.jhu.edu/~jgualla1/images/2392643.jpg,15989734,Is this a new truck?,http://ugrad.cs.jhu.edu/~jgualla1/images/2408760.jpg,10308212,Is this a new bench?,http://ugrad.cs.jhu.edu/~jgualla1/images/2386254.jpg,17861025
