question_0,question_1,question_2,question_3,question_4,question_5,question_6,question_7,imageurl_0,imageurl_1,imageurl_2,imageurl_3,imageurl_4,imageurl_5,imageurl_6,imageurl_7
Is this an old plate?,Is this an old picture?,Is this an old train?,Is the building on the right old?,Is the dog old?,Is this an old picture?,Is the woman old?,Is this an old suitcase?,http://farm6.staticflickr.com/5467/9333799833_00babb5fc2_z.jpg,http://farm9.staticflickr.com/8509/8432675181_e28bfecfcc_z.jpg,http://farm4.staticflickr.com/3775/9495266523_42904b7625_z.jpg,http://farm5.staticflickr.com/4105/5056263862_bdbdc4fb25_z.jpg,http://farm7.staticflickr.com/6180/6164749498_09fc2089ec_z.jpg,http://farm3.staticflickr.com/2837/9234587369_1b2f698224_z.jpg,http://farm5.staticflickr.com/4013/4225614467_5a192ea2a5_z.jpg,http://farm3.staticflickr.com/2345/2434196272_2f645eef80_z.jpg
Is this surfer old?,Is the train old?,Is this house very old?,Are these old bikes?,Is this an old photograph?,Is the building old?,Is this book old?,Are the balls and glove old or new?,http://farm6.staticflickr.com/5023/5677519618_e8af260e5b_z.jpg,http://farm3.staticflickr.com/2841/9779340294_5a1a38438c_z.jpg,http://farm8.staticflickr.com/7227/7355580292_a047474b9a_z.jpg,http://farm7.staticflickr.com/6196/6087137948_683fb66746_z.jpg,http://farm4.staticflickr.com/3492/3224493633_ddcf75404a_z.jpg,http://farm9.staticflickr.com/8314/7979995481_25751406a4_z.jpg,http://farm5.staticflickr.com/4030/4209144090_a5307d7cc8_z.jpg,http://farm8.staticflickr.com/7111/7674415038_a99434536f_z.jpg
Is this picture old?,Is this an old train?,Is this an old pic?,Is this an old photo?,Is this building old?,Is this an old bus?,Is this an old stove?,Is this building old?,http://farm5.staticflickr.com/4088/5066375005_5e81a0d869_z.jpg,http://farm9.staticflickr.com/8548/8704046688_3b331f7d73_z.jpg,http://farm8.staticflickr.com/7013/6615979113_25b3e50a0e_z.jpg,http://farm8.staticflickr.com/7013/6615979113_25b3e50a0e_z.jpg,http://farm8.staticflickr.com/7093/7175322349_2d682b53d6_z.jpg,http://farm8.staticflickr.com/7140/7534950338_5a659886b0_z.jpg,http://farm8.staticflickr.com/7144/6546427703_c8e85c0c55_z.jpg,http://farm6.staticflickr.com/5118/6919725694_d00259e65e_z.jpg
Does this room like old?,Is this an old elephant?,Is the clock tower old?,Is this an old photo?,Is the book old?,Is the woman old?,Are these old cars?,Is the building old?,http://farm3.staticflickr.com/2396/2341420869_7d23361ba3_z.jpg,http://farm4.staticflickr.com/3825/9622857239_7accca5bd1_z.jpg,http://farm8.staticflickr.com/7010/6784678937_fcae07c632_z.jpg,http://farm9.staticflickr.com/8172/8000573195_fe43ee6a54_z.jpg,http://farm3.staticflickr.com/2208/2127060837_31655bd2c8_z.jpg,http://farm5.staticflickr.com/4110/5195178857_a53039395c_z.jpg,http://farm7.staticflickr.com/6043/6358090629_3d2e2f00d1_z.jpg,http://farm7.staticflickr.com/6154/6169565217_d9e2ab24aa_z.jpg
Is the bench old?,Is this an old teddy bear?,Does the train look old?,Is the bench old or new?,Is this an old picture?,Is this child old enough to write?,Is this person old?,Is this old or new?,http://farm7.staticflickr.com/6198/6094114869_a06e8e23bb_z.jpg,http://farm5.staticflickr.com/4005/4468891744_00bb759e17_z.jpg,http://farm4.staticflickr.com/3773/8990146447_9c8aa98934_z.jpg,http://farm8.staticflickr.com/7207/6845810802_3fe12e4035_z.jpg,http://farm8.staticflickr.com/7002/6732385791_cd9fcb9572_z.jpg,http://farm1.staticflickr.com/247/520957115_1381c7bf98_z.jpg,http://farm9.staticflickr.com/8182/8034636938_a2170825d1_z.jpg,http://farm5.staticflickr.com/4144/5072551441_fd302a2c44_z.jpg
Is this an old elephant?,Is the bear old?,Is the truck old?,Is this train old?,Is this an old picture?,Do you think this girl is old enough for school?,Is this child old enough to eat donuts?,Is the picture old or new?,http://farm5.staticflickr.com/4116/4852216543_68818d284b_z.jpg,http://farm9.staticflickr.com/8231/8479654259_de1bff4d55_z.jpg,http://farm8.staticflickr.com/7055/6994550527_9c3a3fc7c5_z.jpg,http://farm4.staticflickr.com/3705/9239857335_53ee363368_z.jpg,http://farm8.staticflickr.com/7055/7099747503_eb011fabbc_z.jpg,http://farm8.staticflickr.com/7129/7436673390_170f999d13_z.jpg,http://farm3.staticflickr.com/2475/3687686020_feff1e26e7_z.jpg,http://farm5.staticflickr.com/4057/4528703193_33cc0ca32e_z.jpg
Is the man old?,Does this person look old enough to drink?,Is this an old cell phone?,Is the woman old?,Is this an old bathroom?,Is the tree old?,Is this surfer old?,Is this brand new or old?,http://farm5.staticflickr.com/4139/4953791010_28ba636751_z.jpg,http://farm4.staticflickr.com/3081/2518511365_779021d07d_z.jpg,http://farm4.staticflickr.com/3236/2832318637_cd5eac295d_z.jpg,http://farm8.staticflickr.com/7175/6416367543_005b0d4572_z.jpg,http://farm8.staticflickr.com/7044/6790352632_23bda16922_z.jpg,http://farm3.staticflickr.com/2765/4542040438_78fe4bae5c_z.jpg,http://farm5.staticflickr.com/4073/4908728594_4ccc9dc5f5_z.jpg,http://farm9.staticflickr.com/8306/7827390210_6c7459bd59_z.jpg
Is this picture old or new?,Is the clock old?,Is this bench old?,Is the building on the right old?,Is this picture old?,Does the train look old?,Is this animal young or old?,Are the cows young or old?,http://farm5.staticflickr.com/4050/4651404175_295fc4cdcd_z.jpg,http://farm4.staticflickr.com/3703/10150133176_8a9f6d841f_z.jpg,http://farm1.staticflickr.com/68/155023305_6bb94a0723_z.jpg,http://farm9.staticflickr.com/8086/8457299743_c1ab98993b_z.jpg,http://farm7.staticflickr.com/6084/6063518075_101f856f91_z.jpg,http://farm9.staticflickr.com/8123/8649080785_b68a767658_z.jpg,http://farm1.staticflickr.com/113/267451555_b7307c4db3_z.jpg,http://farm4.staticflickr.com/3437/3362774373_f3df8fb7b6_z.jpg
IS this an old or new truck?,Are these men old?,Is the bench old?,Is the bathroom old?,Is this clock old?,Is this an old picture?,Is he old?,Is the man young or old?,http://farm9.staticflickr.com/8381/8677539142_e42395be68_z.jpg,http://farm9.staticflickr.com/8381/8544526001_f8aa39c409_z.jpg,http://farm9.staticflickr.com/8536/8626242006_79e069c79e_z.jpg,http://farm5.staticflickr.com/4045/4662745824_2a57885fcb_z.jpg,http://farm9.staticflickr.com/8441/8019985834_f5a5bc6cd6_z.jpg,http://farm8.staticflickr.com/7446/9308036540_273bffb6ce_z.jpg,http://farm3.staticflickr.com/2784/4309297477_6fb7e1f1dc_z.jpg,http://farm7.staticflickr.com/6064/6087413581_848a56a35a_z.jpg
Is the keyboard old?,Is this an old bathroom?,Is the woman old?,Are the cars very old?,Is the bus old?,Is this woman young or old?,Is that an old couch?,Is that an old couch?,http://farm1.staticflickr.com/7/8216148_b7ef6e1ad6_z.jpg,http://farm7.staticflickr.com/6065/6050612972_020a8bb7da_z.jpg,http://farm3.staticflickr.com/2572/5783843164_9eb6766ce8_z.jpg,http://farm7.staticflickr.com/6230/6397237863_fcd513b5a8_z.jpg,http://farm5.staticflickr.com/4011/4183045018_f175db3873_z.jpg,http://farm8.staticflickr.com/7240/7254223650_c638a5293d_z.jpg,http://farm6.staticflickr.com/5074/5800626360_a56439cb12_z.jpg,http://farm4.staticflickr.com/3421/3732930545_e6ebbaeaf3_z.jpg
