question_0,imageurl_0,question_1,imageurl_1,question_2,imageurl_2,question_3,imageurl_3,question_4,imageurl_4,question_5,imageurl_5,question_6,imageurl_6,question_7,imageurl_7
Does that girl seem to be old?,ugrad.cs.jhu.edu/~jgualla1/images/2364861.jpg,Does the train look old?,ugrad.cs.jhu.edu/~jgualla1/images/2322704.jpg,Does the man look old?,ugrad.cs.jhu.edu/~jgualla1/images/2416670.jpg,Does the TV look old?,ugrad.cs.jhu.edu/~jgualla1/images/2352325.jpg,Is the skier old?,ugrad.cs.jhu.edu/~jgualla1/images/2415046.jpg,Is the stove old?,ugrad.cs.jhu.edu/~jgualla1/images/2387183.jpg,Is the bench old?,ugrad.cs.jhu.edu/~jgualla1/images/2359592.jpg,Does the bike that looks blue seem to be old?,ugrad.cs.jhu.edu/~jgualla1/images/2398893.jpg
Is this boy old?,ugrad.cs.jhu.edu/~jgualla1/images/2411222.jpg,Does the boy look old?,ugrad.cs.jhu.edu/~jgualla1/images/2409219.jpg,Is this man old?,ugrad.cs.jhu.edu/~jgualla1/images/2385032.jpg,Is the man old?,ugrad.cs.jhu.edu/~jgualla1/images/2390743.jpg,Does the black animal look old?,ugrad.cs.jhu.edu/~jgualla1/images/2392896.jpg,Is this an old boy?,ugrad.cs.jhu.edu/~jgualla1/images/2384812.jpg,Does the person with the kite look old?,ugrad.cs.jhu.edu/~jgualla1/images/2371728.jpg,Is this man old?,ugrad.cs.jhu.edu/~jgualla1/images/2366633.jpg
Does the man look old?,ugrad.cs.jhu.edu/~jgualla1/images/2380840.jpg,Does he look old?,ugrad.cs.jhu.edu/~jgualla1/images/2318145.jpg,Does he look old?,ugrad.cs.jhu.edu/~jgualla1/images/4206.jpg,Does the girl look old?,ugrad.cs.jhu.edu/~jgualla1/images/2397998.jpg,Is the elephant old?,ugrad.cs.jhu.edu/~jgualla1/images/2387225.jpg,Is that an old boy?,ugrad.cs.jhu.edu/~jgualla1/images/2368062.jpg,Is this an old girl?,ugrad.cs.jhu.edu/~jgualla1/images/2371728.jpg,Does this cow look old?,ugrad.cs.jhu.edu/~jgualla1/images/2397982.jpg
Is he old?,ugrad.cs.jhu.edu/~jgualla1/images/2404878.jpg,Does the boy look old?,ugrad.cs.jhu.edu/~jgualla1/images/2359055.jpg,Does the black zebra look old?,ugrad.cs.jhu.edu/~jgualla1/images/2397076.jpg,Is this an old bench?,ugrad.cs.jhu.edu/~jgualla1/images/2356670.jpg,Does the white sheep look old?,ugrad.cs.jhu.edu/~jgualla1/images/2390742.jpg,Is this an old bench?,ugrad.cs.jhu.edu/~jgualla1/images/2355875.jpg,Is the man old?,ugrad.cs.jhu.edu/~jgualla1/images/2389102.jpg,Is that an old man?,ugrad.cs.jhu.edu/~jgualla1/images/2399290.jpg
Is this an old house?,ugrad.cs.jhu.edu/~jgualla1/images/2394108.jpg,Is the man old?,ugrad.cs.jhu.edu/~jgualla1/images/150449.jpg,Does this giraffe look old?,ugrad.cs.jhu.edu/~jgualla1/images/2406874.jpg,Does the boy look old?,ugrad.cs.jhu.edu/~jgualla1/images/2340921.jpg,Does that window look old?,ugrad.cs.jhu.edu/~jgualla1/images/2330986.jpg,Is the zebra old?,ugrad.cs.jhu.edu/~jgualla1/images/2387034.jpg,Does the man look old?,ugrad.cs.jhu.edu/~jgualla1/images/2380018.jpg,Is this an old boy?,ugrad.cs.jhu.edu/~jgualla1/images/2404878.jpg
Is this an old man?,ugrad.cs.jhu.edu/~jgualla1/images/2413903.jpg,Does the metal bench look old?,ugrad.cs.jhu.edu/~jgualla1/images/2408813.jpg,Does the skater look old?,ugrad.cs.jhu.edu/~jgualla1/images/2392869.jpg,Does the person with the kite look old?,ugrad.cs.jhu.edu/~jgualla1/images/2371728.jpg,Is the man old?,ugrad.cs.jhu.edu/~jgualla1/images/2416670.jpg,Does the small animal look old?,ugrad.cs.jhu.edu/~jgualla1/images/2406874.jpg,Does the boy look old?,ugrad.cs.jhu.edu/~jgualla1/images/2416419.jpg,Does the boy look old?,ugrad.cs.jhu.edu/~jgualla1/images/2319887.jpg
Does the person with the glasses look old?,ugrad.cs.jhu.edu/~jgualla1/images/2389102.jpg,Does the train look old?,ugrad.cs.jhu.edu/~jgualla1/images/2379293.jpg,Is that an old woman?,ugrad.cs.jhu.edu/~jgualla1/images/2405382.jpg,Is this an old bike?,ugrad.cs.jhu.edu/~jgualla1/images/2376775.jpg,Is the shoe old?,ugrad.cs.jhu.edu/~jgualla1/images/2336308.jpg,Does the man look old?,ugrad.cs.jhu.edu/~jgualla1/images/2375157.jpg,Does the oven look old?,ugrad.cs.jhu.edu/~jgualla1/images/2403994.jpg,Is the boy old?,ugrad.cs.jhu.edu/~jgualla1/images/2318145.jpg
Is this an old bus?,ugrad.cs.jhu.edu/~jgualla1/images/2405250.jpg,Is this elephant old?,ugrad.cs.jhu.edu/~jgualla1/images/2410899.jpg,Is this an old polar bear?,ugrad.cs.jhu.edu/~jgualla1/images/2317229.jpg,Does the baby zebra look old?,ugrad.cs.jhu.edu/~jgualla1/images/2384097.jpg,Is the shoe old?,ugrad.cs.jhu.edu/~jgualla1/images/2336308.jpg,Is this an old man?,ugrad.cs.jhu.edu/~jgualla1/images/2400302.jpg,Is this an old oven?,ugrad.cs.jhu.edu/~jgualla1/images/2413600.jpg,Is this an old woman?,ugrad.cs.jhu.edu/~jgualla1/images/2403045.jpg
Is the girl old?,ugrad.cs.jhu.edu/~jgualla1/images/2353868.jpg,Is the woman old?,ugrad.cs.jhu.edu/~jgualla1/images/2399053.jpg,Does the ground look old?,ugrad.cs.jhu.edu/~jgualla1/images/2393306.jpg,Is the lady old?,ugrad.cs.jhu.edu/~jgualla1/images/2392274.jpg,Is this an old table?,ugrad.cs.jhu.edu/~jgualla1/images/2401863.jpg,Does the boy look old?,ugrad.cs.jhu.edu/~jgualla1/images/2368062.jpg,Is that couple old?,ugrad.cs.jhu.edu/~jgualla1/images/2330088.jpg,Does the large elephant look old?,ugrad.cs.jhu.edu/~jgualla1/images/2377602.jpg
Does the small person look old?,ugrad.cs.jhu.edu/~jgualla1/images/2362810.jpg,Is the man old?,ugrad.cs.jhu.edu/~jgualla1/images/2399290.jpg,Does the bench look old?,ugrad.cs.jhu.edu/~jgualla1/images/2356670.jpg,Is this an old elephant?,ugrad.cs.jhu.edu/~jgualla1/images/2387225.jpg,Is this an old truck?,ugrad.cs.jhu.edu/~jgualla1/images/2408760.jpg,Is this an old woman?,ugrad.cs.jhu.edu/~jgualla1/images/2386261.jpg,Does the girl look old?,ugrad.cs.jhu.edu/~jgualla1/images/2319137.jpg,Does the large picture look old?,ugrad.cs.jhu.edu/~jgualla1/images/2391561.jpg
